Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:," Households: Less than $10,000","Households: $10,000 to $14,999"," Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More"
6001402500,14000US06001402500,Census Tract 4025,"Census Tract 4025, Alameda County, California",ca,140,0,ACSSF,2720,6,1,402500,1781,211,1065,0,237,0,113,155,734,134,78,90,49,16,64,66,7,18,75,25,47,14,21,19,11
6001402600,14000US06001402600,Census Tract 4026,"Census Tract 4026, Alameda County, California",ca,140,0,ACSSF,2721,6,1,402600,1243,288,322,6,481,0,59,87,631,87,133,43,44,37,15,13,33,18,64,24,26,15,31,37,11
6001402700,14000US06001402700,Census Tract 4027,"Census Tract 4027, Alameda County, California",ca,140,0,ACSSF,2722,6,1,402700,1890,540,811,12,205,0,261,61,693,57,40,26,0,41,19,20,29,12,43,51,76,67,53,76,83
6001402800,14000US06001402800,Census Tract 4028,"Census Tract 4028, Alameda County, California",ca,140,0,ACSSF,2723,6,1,402800,4480,1348,1706,26,832,0,126,442,2389,287,527,158,53,13,67,55,28,64,105,41,133,53,174,228,403
6001402900,14000US06001402900,Census Tract 4029,"Census Tract 4029, Alameda County, California",ca,140,0,ACSSF,2724,6,1,402900,1406,348,259,3,534,0,178,84,949,98,163,107,54,35,69,57,20,22,35,64,101,24,33,30,37
6001403000,14000US06001403000,Census Tract 4030,"Census Tract 4030, Alameda County, California",ca,140,0,ACSSF,2725,6,1,403000,2905,226,127,10,2366,72,43,61,1469,196,219,175,72,144,67,70,0,28,20,95,57,100,43,61,122
6001403100,14000US06001403100,Census Tract 4031,"Census Tract 4031, Alameda County, California",ca,140,0,ACSSF,2726,6,1,403100,2101,698,376,6,807,12,104,98,898,21,115,103,18,12,17,0,0,7,37,35,115,121,47,67,183
6001403300,14000US06001403300,Census Tract 4033,"Census Tract 4033, Alameda County, California",ca,140,0,ACSSF,2727,6,1,403300,4178,1250,312,121,2182,0,74,239,2143,102,288,140,109,19,71,153,0,24,148,65,200,129,157,188,350
6001403400,14000US06001403400,Census Tract 4034,"Census Tract 4034, Alameda County, California",ca,140,0,ACSSF,2728,6,1,403400,4340,1821,864,19,1128,35,206,267,2838,107,264,98,145,97,75,73,44,55,209,334,409,302,141,176,309
6001403501,14000US06001403501,Census Tract 4035.01,"Census Tract 4035.01, Alameda County, California",ca,140,0,ACSSF,2729,6,1,403501,4492,1879,1096,54,835,39,58,531,2655,122,245,217,268,174,39,64,33,60,300,185,175,134,206,265,168
6001403502,14000US06001403502,Census Tract 4035.02,"Census Tract 4035.02, Alameda County, California",ca,140,0,ACSSF,2730,6,1,403502,2044,963,530,0,254,0,76,221,1158,51,25,53,91,19,63,49,10,18,115,118,142,62,83,167,92
6001403600,14000US06001403600,Census Tract 4036,"Census Tract 4036, Alameda County, California",ca,140,0,ACSSF,2731,6,1,403600,5570,1916,2396,13,613,0,224,408,2643,165,81,18,51,98,163,58,26,169,191,186,507,365,162,169,234
6001403701,14000US06001403701,Census Tract 4037.01,"Census Tract 4037.01, Alameda County, California",ca,140,0,ACSSF,2732,6,1,403701,2968,1461,800,0,381,0,170,156,1738,76,78,17,160,45,25,103,26,29,81,186,214,242,188,170,98
6001403702,14000US06001403702,Census Tract 4037.02,"Census Tract 4037.02, Alameda County, California",ca,140,0,ACSSF,2733,6,1,403702,1930,1056,298,0,341,0,120,115,1102,55,45,0,11,26,42,70,23,0,18,72,206,71,129,198,136
6001403800,14000US06001403800,Census Tract 4038,"Census Tract 4038, Alameda County, California",ca,140,0,ACSSF,2734,6,1,403800,3351,2341,435,0,392,4,10,169,1814,92,10,0,70,35,31,77,33,45,105,83,310,157,173,172,421
6001403900,14000US06001403900,Census Tract 4039,"Census Tract 4039, Alameda County, California",ca,140,0,ACSSF,2735,6,1,403900,4051,2474,549,9,655,0,77,287,2059,35,143,25,31,79,48,74,15,82,61,146,369,282,165,299,205
6001404000,14000US06001404000,Census Tract 4040,"Census Tract 4040, Alameda County, California",ca,140,0,ACSSF,2736,6,1,404000,2895,1853,244,29,295,71,117,286,1638,80,46,7,16,43,89,21,58,67,80,199,280,223,123,166,140
6001404101,14000US06001404101,Census Tract 4041.01,"Census Tract 4041.01, Alameda County, California",ca,140,0,ACSSF,2737,6,1,404101,3017,2004,237,11,380,0,115,270,1660,89,37,17,25,46,72,49,16,26,62,176,232,165,115,252,281
6001404102,14000US06001404102,Census Tract 4041.02,"Census Tract 4041.02, Alameda County, California",ca,140,0,ACSSF,2738,6,1,404102,2653,1888,130,36,335,20,93,151,1657,133,93,124,92,40,46,40,0,29,72,135,175,185,117,91,285
6001404200,14000US06001404200,Census Tract 4042,"Census Tract 4042, Alameda County, California",ca,140,0,ACSSF,2739,6,1,404200,3877,2531,256,8,736,33,72,241,1286,39,9,16,6,0,16,9,7,33,29,60,81,54,154,100,673
6001404300,14000US06001404300,Census Tract 4043,"Census Tract 4043, Alameda County, California",ca,140,0,ACSSF,2740,6,1,404300,3443,2315,57,0,467,0,176,428,1284,19,18,19,0,9,27,10,0,36,37,71,46,75,26,189,702
6001404400,14000US06001404400,Census Tract 4044,"Census Tract 4044, Alameda County, California",ca,140,0,ACSSF,2741,6,1,404400,5628,4036,131,40,729,0,0,692,2315,75,26,53,116,71,24,25,42,21,32,65,154,181,180,240,1010
6001404501,14000US06001404501,Census Tract 4045.01,"Census Tract 4045.01, Alameda County, California",ca,140,0,ACSSF,2742,6,1,404501,1809,1317,122,0,209,9,18,134,659,3,5,4,0,8,0,0,4,0,26,23,46,49,51,89,351
6001404502,14000US06001404502,Census Tract 4045.02,"Census Tract 4045.02, Alameda County, California",ca,140,0,ACSSF,2743,6,1,404502,5891,4682,104,13,624,0,74,394,2483,17,46,0,32,17,27,33,60,58,35,85,230,187,133,494,1029
6001404600,14000US06001404600,Census Tract 4046,"Census Tract 4046, Alameda County, California",ca,140,0,ACSSF,2744,6,1,404600,4625,3354,178,8,641,106,95,243,1783,9,0,0,30,0,9,70,25,33,47,64,142,129,161,331,733
6001404700,14000US06001404700,Census Tract 4047,"Census Tract 4047, Alameda County, California",ca,140,0,ACSSF,2745,6,1,404700,2137,1616,128,0,286,9,27,71,805,15,11,0,6,0,0,12,7,18,23,38,24,58,57,166,370
6001404800,14000US06001404800,Census Tract 4048,"Census Tract 4048, Alameda County, California",ca,140,0,ACSSF,2746,6,1,404800,2647,1517,423,92,293,0,52,270,1159,77,17,20,0,24,109,3,32,0,85,125,125,122,77,71,272
6001404900,14000US06001404900,Census Tract 4049,"Census Tract 4049, Alameda County, California",ca,140,0,ACSSF,2747,6,1,404900,4197,2689,403,43,674,31,34,323,1860,32,75,30,37,49,56,72,38,45,6,118,155,246,190,265,446
6001405000,14000US06001405000,Census Tract 4050,"Census Tract 4050, Alameda County, California",ca,140,0,ACSSF,2748,6,1,405000,3394,2200,407,10,389,0,64,324,1446,67,32,27,8,30,39,48,0,16,22,67,69,137,150,206,528
6001405100,14000US06001405100,Census Tract 4051,"Census Tract 4051, Alameda County, California",ca,140,0,ACSSF,2749,6,1,405100,4285,2816,589,0,435,0,78,367,1608,32,0,17,0,17,0,9,26,17,38,66,136,107,121,197,825
6001405200,14000US06001405200,Census Tract 4052,"Census Tract 4052, Alameda County, California",ca,140,0,ACSSF,2750,6,1,405200,5183,2341,604,36,1635,25,151,391,2414,82,104,64,58,115,88,37,44,49,170,155,378,249,66,367,388
6001405301,14000US06001405301,Census Tract 4053.01,"Census Tract 4053.01, Alameda County, California",ca,140,0,ACSSF,2751,6,1,405301,2954,1679,352,0,322,13,329,259,1572,93,42,52,28,80,27,71,37,50,108,148,89,187,130,162,268
6001405302,14000US06001405302,Census Tract 4053.02,"Census Tract 4053.02, Alameda County, California",ca,140,0,ACSSF,2752,6,1,405302,2373,861,312,8,1004,0,53,135,1377,130,107,113,135,23,51,27,37,75,82,58,187,123,83,69,77
6001405401,14000US06001405401,Census Tract 4054.01,"Census Tract 4054.01, Alameda County, California",ca,140,0,ACSSF,2753,6,1,405401,3648,887,643,0,1277,0,625,216,1657,116,140,80,76,88,61,71,50,118,120,205,300,110,32,44,46
6001405402,14000US06001405402,Census Tract 4054.02,"Census Tract 4054.02, Alameda County, California",ca,140,0,ACSSF,2754,6,1,405402,3357,679,894,45,938,102,542,157,1180,38,127,87,28,50,64,12,69,11,157,116,197,106,42,25,51
6001405500,14000US06001405500,Census Tract 4055,"Census Tract 4055, Alameda County, California",ca,140,0,ACSSF,2755,6,1,405500,3880,1062,879,55,1619,41,56,168,1572,41,164,33,111,77,59,66,8,23,170,149,97,175,67,248,84
6001405600,14000US06001405600,Census Tract 4056,"Census Tract 4056, Alameda County, California",ca,140,0,ACSSF,2756,6,1,405600,3269,1292,602,96,727,0,325,227,1386,71,74,118,5,62,26,5,127,33,173,103,104,202,85,125,73
6001405700,14000US06001405700,Census Tract 4057,"Census Tract 4057, Alameda County, California",ca,140,0,ACSSF,2757,6,1,405700,3531,620,747,17,1625,0,303,219,1368,46,102,64,63,14,59,30,11,117,126,230,236,79,85,31,75
6001405800,14000US06001405800,Census Tract 4058,"Census Tract 4058, Alameda County, California",ca,140,0,ACSSF,2758,6,1,405800,4370,1074,962,108,1871,25,224,106,1338,70,94,62,61,124,61,51,55,103,119,139,68,114,84,57,76
6001405901,14000US06001405901,Census Tract 4059.01,"Census Tract 4059.01, Alameda County, California",ca,140,0,ACSSF,2759,6,1,405901,4426,813,716,61,1618,37,1111,70,1100,119,88,33,114,5,57,91,53,21,90,76,109,62,124,30,28
6001405902,14000US06001405902,Census Tract 4059.02,"Census Tract 4059.02, Alameda County, California",ca,140,0,ACSSF,2760,6,1,405902,2942,390,358,26,1459,0,536,173,925,64,102,93,44,30,65,35,30,79,48,55,86,54,21,79,40
6001406000,14000US06001406000,Census Tract 4060,"Census Tract 4060, Alameda County, California",ca,140,0,ACSSF,2761,6,1,406000,3796,1148,525,6,1590,3,444,80,1551,82,199,93,89,75,45,127,51,44,64,176,123,72,82,127,102
6001406100,14000US06001406100,Census Tract 4061,"Census Tract 4061, Alameda County, California",ca,140,0,ACSSF,2762,6,1,406100,4733,1664,432,161,855,28,1509,84,1475,113,114,39,120,86,57,48,100,54,72,113,158,98,65,124,114
6001406201,14000US06001406201,Census Tract 4062.01,"Census Tract 4062.01, Alameda County, California",ca,140,0,ACSSF,2763,6,1,406201,4995,567,1056,79,1424,18,1681,170,1485,191,92,70,43,76,87,130,112,63,76,141,161,82,77,53,31
6001406202,14000US06001406202,Census Tract 4062.02,"Census Tract 4062.02, Alameda County, California",ca,140,0,ACSSF,2764,6,1,406202,4817,1508,696,323,622,0,1488,180,1337,94,41,84,104,102,101,69,38,109,141,146,54,65,63,60,66
6001406300,14000US06001406300,Census Tract 4063,"Census Tract 4063, Alameda County, California",ca,140,0,ACSSF,2765,6,1,406300,4383,1014,1161,19,1061,0,815,313,1255,127,99,106,32,54,41,44,56,75,75,73,158,50,41,167,57
6001406400,14000US06001406400,Census Tract 4064,"Census Tract 4064, Alameda County, California",ca,140,0,ACSSF,2766,6,1,406400,2545,1037,536,29,483,16,223,221,748,22,29,54,16,50,44,24,39,21,39,25,121,40,41,78,105
6001406500,14000US06001406500,Census Tract 4065,"Census Tract 4065, Alameda County, California",ca,140,0,ACSSF,2767,6,1,406500,6586,1315,1255,410,947,185,2073,401,1948,178,143,94,173,51,157,80,120,54,84,203,212,140,74,133,52
6001406601,14000US06001406601,Census Tract 4066.01,"Census Tract 4066.01, Alameda County, California",ca,140,0,ACSSF,2768,6,1,406601,4955,976,1042,107,1089,0,1182,559,1746,91,72,113,104,74,97,142,133,35,223,103,198,124,51,85,101
6001406602,14000US06001406602,Census Tract 4066.02,"Census Tract 4066.02, Alameda County, California",ca,140,0,ACSSF,2769,6,1,406602,2698,530,485,62,973,5,474,169,941,25,108,29,6,40,96,31,42,78,32,107,118,53,0,118,58
6001406700,14000US06001406700,Census Tract 4067,"Census Tract 4067, Alameda County, California",ca,140,0,ACSSF,2770,6,1,406700,5159,2754,765,34,1059,0,258,289,2178,26,130,29,28,98,46,39,76,39,119,158,335,248,111,283,413
6001406800,14000US06001406800,Census Tract 4068,"Census Tract 4068, Alameda County, California",ca,140,0,ACSSF,2771,6,1,406800,3611,1513,412,16,761,0,568,341,1360,31,12,28,38,18,14,95,27,37,18,108,246,127,93,198,270
6001406900,14000US06001406900,Census Tract 4069,"Census Tract 4069, Alameda County, California",ca,140,0,ACSSF,2772,6,1,406900,3608,1854,670,15,593,12,118,346,1551,47,38,39,39,15,54,29,10,85,122,109,241,145,97,169,312
6001407000,14000US06001407000,Census Tract 4070,"Census Tract 4070, Alameda County, California",ca,140,0,ACSSF,2773,6,1,407000,5869,1156,1234,119,1453,0,1132,775,1991,87,161,99,55,36,76,154,16,0,269,335,277,63,115,170,78
6001407101,14000US06001407101,Census Tract 4071.01,"Census Tract 4071.01, Alameda County, California",ca,140,0,ACSSF,2774,6,1,407101,3821,621,571,8,956,0,1586,79,1056,100,57,47,97,89,51,11,59,42,89,111,143,16,98,12,34
6001407102,14000US06001407102,Census Tract 4071.02,"Census Tract 4071.02, Alameda County, California",ca,140,0,ACSSF,2775,6,1,407102,4387,611,1143,121,628,10,1471,403,1355,86,107,20,57,40,62,33,91,124,152,89,226,90,19,53,106
6001407200,14000US06001407200,Census Tract 4072,"Census Tract 4072, Alameda County, California",ca,140,0,ACSSF,2776,6,1,407200,6985,2001,598,136,968,3,3037,242,1927,160,102,78,134,81,126,139,114,104,181,187,160,114,161,25,61
6001407300,14000US06001407300,Census Tract 4073,"Census Tract 4073, Alameda County, California",ca,140,0,ACSSF,2777,6,1,407300,2420,1065,266,3,236,12,753,85,730,29,90,42,41,33,31,23,20,19,36,87,48,146,44,10,31
6001407400,14000US06001407400,Census Tract 4074,"Census Tract 4074, Alameda County, California",ca,140,0,ACSSF,2778,6,1,407400,4531,478,844,33,337,9,2518,312,1127,188,60,38,37,50,25,19,62,20,71,135,248,62,54,34,24
6001407500,14000US06001407500,Census Tract 4075,"Census Tract 4075, Alameda County, California",ca,140,0,ACSSF,2779,6,1,407500,4299,558,1254,46,278,5,1796,362,1358,211,110,113,120,61,116,18,49,40,160,76,106,54,34,50,40
6001407600,14000US06001407600,Census Tract 4076,"Census Tract 4076, Alameda County, California",ca,140,0,ACSSF,2780,6,1,407600,6327,1317,2496,0,526,0,1309,679,2123,122,155,14,32,104,45,69,43,219,20,156,365,214,172,220,173
6001407700,14000US06001407700,Census Tract 4077,"Census Tract 4077, Alameda County, California",ca,140,0,ACSSF,2781,6,1,407700,4122,1532,1784,0,210,17,253,326,1651,29,32,40,77,83,70,39,77,64,121,129,204,137,102,310,137
6001407800,14000US06001407800,Census Tract 4078,"Census Tract 4078, Alameda County, California",ca,140,0,ACSSF,2782,6,1,407800,2728,1105,645,5,557,3,188,225,748,65,34,18,13,20,18,23,18,10,67,47,73,94,57,84,107
6001407900,14000US06001407900,Census Tract 4079,"Census Tract 4079, Alameda County, California",ca,140,0,ACSSF,2783,6,1,407900,2873,1508,530,0,456,2,186,191,1126,25,0,45,0,11,28,0,38,11,45,72,122,165,98,207,259
6001408000,14000US06001408000,Census Tract 4080,"Census Tract 4080, Alameda County, California",ca,140,0,ACSSF,2784,6,1,408000,2700,1652,255,12,499,2,143,137,1037,9,17,10,10,9,0,0,37,6,39,55,111,46,72,156,460
6001408100,14000US06001408100,Census Tract 4081,"Census Tract 4081, Alameda County, California",ca,140,0,ACSSF,2785,6,1,408100,6320,2702,1506,0,1303,0,296,513,2717,22,17,0,57,111,28,100,29,33,83,158,367,217,347,358,790
6001408200,14000US06001408200,Census Tract 4082,"Census Tract 4082, Alameda County, California",ca,140,0,ACSSF,2786,6,1,408200,4570,1104,2375,57,238,30,303,463,1961,197,119,111,19,117,130,53,75,46,148,173,181,165,154,47,226
6001408300,14000US06001408300,Census Tract 4083,"Census Tract 4083, Alameda County, California",ca,140,0,ACSSF,2787,6,1,408300,5047,1427,1900,20,589,123,622,366,1828,76,94,41,50,105,67,8,61,9,179,98,280,138,187,207,228
6001408400,14000US06001408400,Census Tract 4084,"Census Tract 4084, Alameda County, California",ca,140,0,ACSSF,2788,6,1,408400,3201,502,1620,0,52,21,851,155,1157,102,113,45,99,100,39,39,44,83,50,72,141,49,49,84,48
6001408500,14000US06001408500,Census Tract 4085,"Census Tract 4085, Alameda County, California",ca,140,0,ACSSF,2789,6,1,408500,5977,271,2236,2,132,113,2920,303,1611,43,109,50,186,93,89,19,77,33,171,271,155,103,75,60,77
6001408600,14000US06001408600,Census Tract 4086,"Census Tract 4086, Alameda County, California",ca,140,0,ACSSF,2790,6,1,408600,7096,949,2526,28,302,0,2857,434,1811,100,202,88,143,95,72,97,85,76,124,144,214,100,133,95,43
6001408700,14000US06001408700,Census Tract 4087,"Census Tract 4087, Alameda County, California",ca,140,0,ACSSF,2791,6,1,408700,7909,1299,3312,21,181,0,2398,698,2455,203,108,150,173,105,124,32,85,122,136,163,552,233,116,118,35
6001408800,14000US06001408800,Census Tract 4088,"Census Tract 4088, Alameda County, California",ca,140,0,ACSSF,2792,6,1,408800,7149,727,2718,36,308,361,2866,133,2225,327,340,278,210,106,113,82,60,50,166,158,153,95,25,62,0
6001408900,14000US06001408900,Census Tract 4089,"Census Tract 4089, Alameda County, California",ca,140,0,ACSSF,2793,6,1,408900,3546,506,853,0,162,35,1832,158,1016,74,87,105,80,59,40,24,48,39,73,72,134,89,22,42,28
6001409000,14000US06001409000,Census Tract 4090,"Census Tract 4090, Alameda County, California",ca,140,0,ACSSF,2794,6,1,409000,4687,440,1638,48,221,6,2126,208,1135,16,71,37,46,55,88,11,194,66,80,79,130,52,127,48,35
6001409100,14000US06001409100,Census Tract 4091,"Census Tract 4091, Alameda County, California",ca,140,0,ACSSF,2795,6,1,409100,2490,721,726,126,109,0,609,199,675,38,36,35,21,15,34,37,37,24,30,113,145,80,11,4,15
6001409200,14000US06001409200,Census Tract 4092,"Census Tract 4092, Alameda County, California",ca,140,0,ACSSF,2796,6,1,409200,3672,372,1171,26,246,0,1534,323,982,60,47,45,26,41,36,43,82,42,165,91,94,112,57,19,22
6001409300,14000US06001409300,Census Tract 4093,"Census Tract 4093, Alameda County, California",ca,140,0,ACSSF,2797,6,1,409300,5303,927,1315,0,148,27,2689,197,1627,186,172,55,83,30,72,176,42,140,190,129,91,108,76,49,28
6001409400,14000US06001409400,Census Tract 4094,"Census Tract 4094, Alameda County, California",ca,140,0,ACSSF,2798,6,1,409400,4780,1019,800,0,443,15,2335,168,1268,69,79,143,74,81,68,73,102,36,57,138,166,66,54,36,26
6001409500,14000US06001409500,Census Tract 4095,"Census Tract 4095, Alameda County, California",ca,140,0,ACSSF,2799,6,1,409500,4128,910,1050,105,69,83,1801,110,1131,91,95,56,97,56,80,52,62,44,94,116,170,53,24,26,15
6001409600,14000US06001409600,Census Tract 4096,"Census Tract 4096, Alameda County, California",ca,140,0,ACSSF,2800,6,1,409600,4978,517,1653,13,233,36,2432,94,1484,144,115,38,90,93,42,77,37,59,198,112,209,133,101,7,29
6001409700,14000US06001409700,Census Tract 4097,"Census Tract 4097, Alameda County, California",ca,140,0,ACSSF,2801,6,1,409700,4991,836,1598,0,94,26,2107,330,1577,110,83,116,101,98,124,29,91,151,150,110,199,128,70,17,0
6001409800,14000US06001409800,Census Tract 4098,"Census Tract 4098, Alameda County, California",ca,140,0,ACSSF,2802,6,1,409800,3516,925,1975,11,285,0,120,200,1294,190,107,42,9,51,13,15,14,0,59,95,143,238,86,159,73
6001409900,14000US06001409900,Census Tract 4099,"Census Tract 4099, Alameda County, California",ca,140,0,ACSSF,2803,6,1,409900,3642,1208,1715,11,265,0,72,371,1423,40,21,22,28,20,52,10,10,32,24,113,156,270,50,177,398
6001410000,14000US06001410000,Census Tract 4100,"Census Tract 4100, Alameda County, California",ca,140,0,ACSSF,2804,6,1,410000,3242,1054,1311,8,158,29,111,571,1227,25,71,0,38,0,46,40,34,19,103,94,89,131,179,174,184
6001410100,14000US06001410100,Census Tract 4101,"Census Tract 4101, Alameda County, California",ca,140,0,ACSSF,2805,6,1,410100,2667,387,1513,0,129,14,266,358,1100,110,58,66,13,11,23,35,84,30,51,162,140,144,52,41,80
6001410200,14000US06001410200,Census Tract 4102,"Census Tract 4102, Alameda County, California",ca,140,0,ACSSF,2806,6,1,410200,3630,215,2179,31,104,86,913,102,1127,39,109,40,42,80,7,73,79,7,101,183,119,83,11,131,23
6001410300,14000US06001410300,Census Tract 4103,"Census Tract 4103, Alameda County, California",ca,140,0,ACSSF,2807,6,1,410300,3857,996,966,38,133,51,1441,232,1023,60,58,72,62,36,46,114,24,37,107,91,150,75,47,28,16
6001410400,14000US06001410400,Census Tract 4104,"Census Tract 4104, Alameda County, California",ca,140,0,ACSSF,2808,6,1,410400,4477,814,1505,123,486,23,1376,150,1351,42,54,37,20,82,95,7,31,41,68,221,210,177,122,101,43
6001410500,14000US06001410500,Census Tract 4105,"Census Tract 4105, Alameda County, California",ca,140,0,ACSSF,2809,6,1,410500,2705,547,1663,7,294,24,110,60,925,160,118,75,58,34,61,75,32,47,34,23,24,15,29,10,130
6001420100,14000US06001420100,Census Tract 4201,"Census Tract 4201, Alameda County, California",ca,140,0,ACSSF,2810,6,1,420100,2440,1601,11,10,512,0,46,260,891,8,6,16,28,10,13,11,9,18,56,42,80,87,105,166,236
